t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_omega
17.2,-0.0989883365955301,130.579765928453,15.0166666666667,1.5707963267949,129.078137218223,0.829380111832809,Inf,15.0166666666667,0
17.3,-0.0989883365955313,132.084765928453,15.05,1.5707963267949,130.579803448391,0.817947880604873,Inf,15.05,0
17.4,-0.0989883365955326,133.582265928453,14.975,1.5707963267949,132.084803020881,0.806776836600797,Inf,14.975,0
17.5,-0.0989883365955338,135.083099261786,15.0083333333333,1.5707963267949,133.582302605063,0.79593597358864,Inf,15.0083333333333,0
17.6,-0.0989883365955351,136.587265928453,15.0416666666667,1.5707963267949,135.083135530903,0.785335961295296,Inf,15.0416666666667,0
17.7,-0.0989883365955363,138.08393259512,14.9666666666667,1.5707963267949,136.587301798157,0.774969218901733,Inf,14.9666666666667,0
17.8,-0.0989883365955375,139.58393259512,15,1.5707963267949,138.083968076038,0.764900480298967,Inf,15,0
17.9,-0.0989883365955388,141.087265928453,15.0333333333333,1.5707963267949,139.583967694752,0.755047366681984,Inf,15.0333333333333,0
18,-0.09898833659554,142.59393259512,15.0666666666667,1.5707963267949,141.087300654087,0.745403340668587,Inf,15.0666666666667,0
18.1,-0.0989883365955413,144.093099261786,14.9916666666667,1.5707963267949,142.593966953838,0.735962121495788,Inf,14.9916666666667,0
18.2,-0.0989883365955425,145.595599261786,15.025,1.5707963267949,144.093133263032,0.726783237210772,Inf,15.025,0
18.3,-0.0989883365955438,147.10143259512,15.0583333333333,1.5707963267949,145.59563291215,0.717792350424129,Inf,15.0583333333333,0
18.4,-0.098988336595545,148.599765928453,14.9833333333333,1.5707963267949,147.101465901014,0.708984014761697,Inf,14.9833333333333,0
18.5,-0.0989883365955462,150.10143259512,15.0166666666667,1.5707963267949,148.599798898524,0.700414257763272,Inf,15.0166666666667,0
18.6,-0.0989883365955475,151.60643259512,15.05,1.5707963267949,150.101465235347,0.69201407236075,Inf,15.05,0
18.7,-0.0989883365955487,153.10393259512,14.975,1.5707963267949,151.606464911327,0.683778716489531,Inf,14.975,0
18.8,-0.09898833659555,154.604765928453,15.0083333333333,1.5707963267949,153.103964595244,0.675760993914004,Inf,15.0083333333333,0
